fecha,of,producto_codigo,componente_codigo,lote,cantidad,unidad,almacen,movimiento,emisor,receptor,observaciones,timestamp_registro
2025-07-01,250720,512.178.032,454.567.544,L250716-03,61.505,kg,MP-02,Devolucion,Operario C,Línea 1,PLANTA CRE | Devolución parcial,2025-07-01T06:35:18
2025-07-01,250725,513.157.032,451.100.241,L250701-01,399.286,kg,MP-02,Emision,Operario C,Línea 2,PLANTA CRE | Proceso OK,2025-07-01T07:42:55
2025-07-01,250725,513.157.032,451.100.241,L250701-02,415.151,kg,MP-02,Emision,Operario C,Línea 1,PLANTA CRE | Proceso OK,2025-07-01T08:16:03
2025-07-01,250729,505.112.005,454.515.383,L250701-03,266.285,kg,MP-02,Emision,Operario B,Tanque 3,PLANTA MAK | Proceso OK,2025-07-01T12:00:39
2025-07-01,250736,505.002.105,454.489.667,L250701-03,627.182,kg,MP-01,Emision,Operario C,Tanque 3,PLANTA MAK | Proceso OK,2025-07-01T13:41:34
2025-07-01,250714,505.015.089,451.610.070,L250701-03,520.850,kg,MP-01,Emision,Operario A,Línea 2,PLANTA CRE | Proceso OK,2025-07-01T14:16:08
2025-07-01,250727,501.173.005,454.622.453,L250706-03,45.308,kg,MP-01,Devolucion,Operario C,Tanque 5,PLANTA CRE | Devolución parcial,2025-07-01T15:25:45
2025-07-01,250724,512.177.038,452.394.874,L250701-03,51.000,ud,AD-01,Emision,Operario C,Línea 1,PLANTA CRE | Proceso OK,2025-07-01T15:55:43
2025-07-01,250719,512.102.024,451.714.792,L250701-02,323.886,L,MP-01,Emision,Supervisor,Tanque 3,PLANTA CRE | Proceso OK,2025-07-01T16:57:53
2025-07-02,250726,512.110.009,451.130.282,L250702-03,474.745,kg,MP-03,Emision,Operario A,Tanque 5,PLANTA CRE | Proceso OK,2025-07-02T11:55:42
2025-07-02,250727,501.173.005,454.114.291,L250702-02,660.785,kg,MP-01,Emision,Operario A,Tanque 5,PLANTA CRE | Proceso OK,2025-07-02T13:37:35
2025-07-02,250731,505.177.074,453.655.811,L250702-01,639.682,kg,MP-03,Emision,Operario C,Tanque 5,PLANTA CRE | Proceso OK,2025-07-02T15:02:38
2025-07-02,250714,505.015.089,451.610.070,L250702-02,241.683,kg,MP-03,Emision,Operario C,Línea 2,PLANTA CRE | Proceso OK,2025-07-02T16:45:20
2025-07-03,250731,505.177.074,453.630.446,L250703-02,254.620,kg,MP-03,Emision,Operario B,Línea 1,PLANTA CRE | Proceso OK,2025-07-03T08:54:38
2025-07-03,250725,513.157.032,451.312.505,L250703-03,438.214,kg,MP-01,Emision,Operario A,Tanque 3,PLANTA CRE | Proceso OK,2025-07-03T09:08:50
2025-07-03,250716,505.094.071,451.738.922,L250703-03,423.879,kg,MP-02,Emision,Supervisor,Tanque 5,PLANTA CRE | Proceso OK,2025-07-03T12:15:09
2025-07-03,250732,513.167.038,454.531.397,L250703-03,344.752,kg,AD-01,Emision,Supervisor,Tanque 5,PLANTA CRE | Proceso OK,2025-07-03T15:04:08
2025-07-03,250721,513.113.009,455.553.506,L250703-02,132.971,kg,MP-01,Emision,Supervisor,Línea 1,PLANTA CRE | Proceso OK,2025-07-03T16:55:34
2025-07-03,250720,512.178.032,453.436.764,L250703-03,475.323,kg,MP-01,Emision,Operario B,Línea 2,PLANTA CRE | Proceso OK,2025-07-03T18:36:19
2025-07-04,250729,505.112.005,454.515.383,L250704-02,740.080,kg,AD-01,Emision,Operario A,Línea 1,PLANTA MAK | Proceso OK,2025-07-04T13:38:34
2025-07-04,250732,513.167.038,451.754.191,L250704-02,558.495,kg,AD-01,Emision,Operario B,Tanque 3,PLANTA CRE | Proceso OK,2025-07-04T17:58:31
2025-07-05,250733,501.116.074,455.656.602,L250705-03,624.478,kg,MP-01,Emision,Operario B,Línea 2,PLANTA CRE | Proceso OK,2025-07-05T08:42:39
2025-07-05,250728,501.162.148,451.572.695,L250705-02,517.923,L,AD-01,Emision,Operario B,Línea 1,PLANTA CRE | Proceso OK,2025-07-05T10:35:24
2025-07-05,250727,501.173.005,454.622.453,L250705-02,484.271,kg,MP-03,Emision,Operario A,Línea 1,PLANTA CRE | Proceso OK,2025-07-05T13:47:27
2025-07-05,250725,513.157.032,451.100.241,L250705-03,329.924,kg,MP-01,Emision,Operario A,Tanque 5,PLANTA CRE | Proceso OK,2025-07-05T13:49:23
2025-07-05,250729,505.112.005,451.425.055,L250705-02,419.460,kg,MP-02,Emision,Supervisor,Tanque 5,PLANTA MAK | Proceso OK,2025-07-05T15:00:57
2025-07-05,250731,505.177.074,453.655.811,L250705-02,571.630,kg,MP-03,Emision,Supervisor,Línea 1,PLANTA CRE | Proceso OK,2025-07-05T15:08:33
2025-07-05,250723,505.024.071,453.926.030,L250705-03,378.085,kg,MP-03,Emision,Supervisor,Tanque 3,PLANTA MAK | Proceso OK,2025-07-05T16:00:57
2025-07-05,250735,505.084.127,455.307.487,L250705-03,1920.008,kg,MP-02,Emision,Operario B,Línea 1,PLANTA CRE | Proceso OK,2025-07-05T16:57:33
