DocEntry,LineNum,DocDate,DocTime,BaseRef,TransType,MovementType,ItemCode,BatchNum,WhsCode,Quantity,UoM,Remark,U_PTCode,U_Emisor,U_Receptor,CreateTS
100000,0,2025-07-01,063518,250720,Return,R,454.567.544,L250716-03,MP-02,61.505,kg,PLANTA CRE | Devolución parcial,512.178.032,Operario C,Línea 1,2025-07-01T06:35:18
100001,0,2025-07-01,074255,250725,Issue,I,451.100.241,L250701-01,MP-02,399.286,kg,PLANTA CRE | Proceso OK,513.157.032,Operario C,Línea 2,2025-07-01T07:42:55
100001,1,2025-07-01,081603,250725,Issue,I,451.100.241,L250701-02,MP-02,415.151,kg,PLANTA CRE | Proceso OK,513.157.032,Operario C,Línea 1,2025-07-01T08:16:03
100002,0,2025-07-01,120039,250729,Issue,I,454.515.383,L250701-03,MP-02,266.285,kg,PLANTA MAK | Proceso OK,505.112.005,Operario B,Tanque 3,2025-07-01T12:00:39
100003,0,2025-07-01,134134,250736,Issue,I,454.489.667,L250701-03,MP-01,627.182,kg,PLANTA MAK | Proceso OK,505.002.105,Operario C,Tanque 3,2025-07-01T13:41:34
100004,0,2025-07-01,141608,250714,Issue,I,451.610.070,L250701-03,MP-01,520.85,kg,PLANTA CRE | Proceso OK,505.015.089,Operario A,Línea 2,2025-07-01T14:16:08
100005,0,2025-07-01,152545,250727,Return,R,454.622.453,L250706-03,MP-01,45.308,kg,PLANTA CRE | Devolución parcial,501.173.005,Operario C,Tanque 5,2025-07-01T15:25:45
100006,0,2025-07-01,155543,250724,Issue,I,452.394.874,L250701-03,AD-01,51.0,ud,PLANTA CRE | Proceso OK,512.177.038,Operario C,Línea 1,2025-07-01T15:55:43
100007,0,2025-07-01,165753,250719,Issue,I,451.714.792,L250701-02,MP-01,323.886,L,PLANTA CRE | Proceso OK,512.102.024,Supervisor,Tanque 3,2025-07-01T16:57:53
100008,0,2025-07-02,115542,250726,Issue,I,451.130.282,L250702-03,MP-03,474.745,kg,PLANTA CRE | Proceso OK,512.110.009,Operario A,Tanque 5,2025-07-02T11:55:42
100009,0,2025-07-02,133735,250727,Issue,I,454.114.291,L250702-02,MP-01,660.785,kg,PLANTA CRE | Proceso OK,501.173.005,Operario A,Tanque 5,2025-07-02T13:37:35
100010,0,2025-07-02,150238,250731,Issue,I,453.655.811,L250702-01,MP-03,639.682,kg,PLANTA CRE | Proceso OK,505.177.074,Operario C,Tanque 5,2025-07-02T15:02:38
100011,0,2025-07-02,164520,250714,Issue,I,451.610.070,L250702-02,MP-03,241.683,kg,PLANTA CRE | Proceso OK,505.015.089,Operario C,Línea 2,2025-07-02T16:45:20
100012,0,2025-07-03,085438,250731,Issue,I,453.630.446,L250703-02,MP-03,254.62,kg,PLANTA CRE | Proceso OK,505.177.074,Operario B,Línea 1,2025-07-03T08:54:38
